cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
aws,dotnet,128,eu-central-1,885,716,169,aws-dotnet-128
aws,dotnet,128,eu-central-1,765,670,95,aws-dotnet-128
aws,dotnet,128,eu-central-1,746,663,83,aws-dotnet-128
aws,dotnet,128,eu-central-1,745,663,82,aws-dotnet-128
aws,dotnet,128,eu-central-1,801,702,99,aws-dotnet-128
aws,dotnet,128,eu-central-1,763,682,81,aws-dotnet-128
aws,dotnet,128,eu-central-1,835,683,152,aws-dotnet-128
aws,dotnet,128,eu-central-1,736,662,74,aws-dotnet-128
aws,dotnet,128,eu-central-1,773,684,89,aws-dotnet-128
aws,dotnet,128,eu-central-1,769,679,90,aws-dotnet-128
aws,dotnet,128,eu-central-1,754,687,67,aws-dotnet-128
aws,dotnet,128,eu-central-1,741,663,78,aws-dotnet-128
aws,dotnet,128,eu-central-1,768,705,63,aws-dotnet-128
aws,dotnet,128,eu-central-1,781,642,139,aws-dotnet-128
aws,dotnet,128,eu-central-1,747,654,93,aws-dotnet-128
aws,dotnet,128,eu-central-1,724,646,78,aws-dotnet-128
aws,dotnet,128,eu-central-1,721,643,78,aws-dotnet-128
aws,dotnet,128,eu-central-1,756,666,90,aws-dotnet-128
aws,dotnet,128,eu-central-1,759,671,88,aws-dotnet-128
aws,dotnet,128,eu-central-1,748,675,73,aws-dotnet-128
aws,dotnet,128,eu-central-1,712,654,58,aws-dotnet-128
aws,dotnet,128,eu-central-1,752,698,54,aws-dotnet-128
aws,dotnet,128,eu-central-1,774,679,95,aws-dotnet-128
aws,dotnet,128,eu-central-1,764,678,86,aws-dotnet-128
aws,dotnet,128,eu-central-1,749,687,62,aws-dotnet-128
aws,dotnet,128,eu-central-1,786,691,95,aws-dotnet-128
aws,dotnet,128,eu-central-1,737,643,94,aws-dotnet-128
aws,dotnet,128,eu-central-1,722,646,76,aws-dotnet-128
aws,dotnet,128,eu-central-1,743,675,68,aws-dotnet-128
aws,dotnet,128,eu-central-1,725,647,78,aws-dotnet-128
aws,dotnet,128,eu-central-1,710,642,68,aws-dotnet-128
aws,dotnet,128,eu-central-1,772,691,81,aws-dotnet-128
aws,dotnet,128,eu-central-1,763,674,89,aws-dotnet-128
aws,dotnet,128,eu-central-1,695,631,64,aws-dotnet-128
aws,dotnet,128,eu-central-1,729,647,82,aws-dotnet-128
aws,dotnet,128,eu-central-1,968,659,309,aws-dotnet-128
aws,dotnet,128,eu-central-1,748,670,78,aws-dotnet-128
aws,dotnet,128,eu-central-1,746,658,88,aws-dotnet-128
aws,dotnet,128,eu-central-1,747,651,96,aws-dotnet-128
aws,dotnet,128,eu-central-1,758,675,83,aws-dotnet-128
aws,dotnet,128,eu-central-1,725,666,59,aws-dotnet-128
